Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
36637699,Building Mobile Applications with Tensorflow,Pete Warden,"Warden, Pete",,"=""""","=""9781491988428""",3,2.50,O'Reilly,Paperback,60,2017,,2019/10/31,2019/10/02,,,read,,,,1,,,0,,,,,
16033602,Lean Analytics: Use Data to Build a Better Startup Faster,Alistair Croll,"Croll, Alistair",Benjamin Yoskovitz,"=""1449335675""","=""9781449335670""",0,4.13,O'Reilly Media,Hardcover,440,2013,2013,,2019/10/27,to-read,to-read (#116),to-read,,,,0,,,0,,,,,
55881,Pattern Recognition and Machine Learning,Christopher M. Bishop,"Bishop, Christopher M.",,"=""0387310738""","=""9780387310732""",0,4.29,Springer,Hardcover,738,2011,2006,,2019/10/02,to-read,to-read (#115),to-read,,,,0,,,0,,,,,
34198005,Something to Do with Self-Hate,Brian Alan Ellis,"Ellis, Brian Alan",,"=""""","=""9781519622488""",3,4.09,House of Vlad Productions,Paperback,172,2017,,2019/09/30,2019/09/05,,,read,,,,1,,,0,,,,,
3336860,The Sphinx,Edgar Allan Poe,"Poe, Edgar Allan",,"=""""","=""""",3,3.26,,,6,2008,,2018/07/30,2018/07/29,,,read,,,,1,,,0,,,,,
39928940,An introduction to machine learning interpretability,Patrick Hall,"Hall, Patrick",Navdeep Gill,"=""9781492033""","=""""",3,3.25,O’Reilly Media,ebook,33,2018,,2019/09/21,2019/09/07,,,read,,,,1,,,0,,,,,
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,3.99,Simon & Schuster,Kindle Edition,194,2011,1953,,2019/08/25,to-read,to-read (#114),to-read,,,,0,,,0,,,,,
32714,The Monkey,Stephen King,"King, Stephen",David Purdham,"=""0394299035""","=""9780394299037""",0,3.78,Random House Audio,Audio Cassette,2,1989,1980,,2019/08/25,to-read,to-read (#113),to-read,,,,0,,,0,,,,,
397,The Gettysburg Address,Abraham Lincoln,"Lincoln, Abraham",Michael McCurdy,"=""0395883970""","=""9780395883976""",3,4.53,HMH Books for Young Readers,Paperback,32,1998,1863,,2019/08/25,,,read,,,,1,,,0,,,,,
5937,Love,Pablo Neruda,"Neruda, Pablo",,"=""0786881488""","=""9780786881482""",0,4.46,Miramax Books,Paperback,43,1995,1995,,2019/08/25,to-read,to-read (#112),to-read,,,,0,,,0,,,,,
